ID,Condition,Gate_length(L_g),Voltage_Gate_Source(V_gs),Voltage_Drain_Source(V_ds)
0,defect,0.25,1,4
1,defect,0.25,1,4
2,defect,0.25,1,4
3,defect,0.25,1,4
4,intact,0.25,1,4
5,intact,0.25,1,4
6,defect,0.75,1,open
7,intact,0.25,0,open
8,defect,1,0,4
9,intact,1,0,open
10,defect,1,1,4
11,defect,0.5,1,4
12,intact,0.75,0,4
13,intact,1,1,4
14,defect,0.25,0,4
15,defect,0.5,1,open
16,defect,0.75,0,open
17,intact,0.25,0,4
18,intact,1,0,4
19,defect,0.5,0,4
20,intact,0.5,0,4
21,defect,0.75,1,4
22,defect,1,1,open
23,defect,0.5,0,open
24,defect,0.25,1,open
25,intact,0.75,1,4
26,intact,0.5,1,4
27,defect,0.75,0,4
28,defect,0.25,0,open
29,intact,0.75,0,open
30,intact,0.75,1,open
31,defect,1,0,open
32,intact,0.25,1,open
33,intact,0.5,0,open
34,intact,1,1,open
35,intact,0.5,1,open
36,intact,0.25,-1,4
37,intact,0.25,-1,4
38,intact,0.25,-3,4
39,intact,0.25,-3,4
40,defect,0.25,-3,4
41,defect,0.25,-2,4
42,defect,0.25,-2,4
43,defect,0.25,-1,4
44,defect,0.25,-1,4
45,intact,0.25,-2,4
46,intact,0.25,-2,4
47,defect,0.5,-2,4
48,defect,0.75,-3,open
49,defect,1,-3,open
50,intact,0.75,-1,4
51,intact,1,-1,open
52,defect,0.25,-1,open
53,intact,1,-3,4
54,defect,0.75,-1,4
55,defect,0.5,-3,4
56,intact,0.5,-2,open
57,defect,1,-1,open
58,intact,0.25,-3,open
59,intact,0.75,-3,open
60,intact,0.75,-2,4
61,intact,1,-3,open
62,defect,1,-2,4
63,defect,0.75,-2,open
64,intact,0.5,-3,4
65,intact,1,-1,4
66,defect,1,-2,open
67,intact,0.5,-1,open
68,intact,0.25,-2,open
69,defect,0.25,-3,open
70,defect,0.25,-2,open
71,intact,0.25,-1,open
72,defect,1,-3,4
73,defect,0.5,-1,4
74,defect,0.5,-2,open
75,intact,1,-2,open
76,intact,0.75,-2,open
77,defect,1,-1,4
78,defect,0.75,-3,4
79,intact,0.75,-1,open
80,intact,0.5,-2,4
81,defect,0.75,-1,open
82,intact,0.5,-3,open
83,defect,0.75,-2,4
84,defect,0.5,-1,open
85,intact,0.75,-3,4
86,intact,1,-2,4
87,intact,0.5,-1,4
88,defect,0.5,-3,open
89,intact,0.25,-1.5,4
90,intact,0.25,-1.5,4
91,intact,0.25,1,NaN
92,intact,0.25,1,NaN
93,intact,0.25,-3,NaN
94,intact,0.25,-3,NaN
95,intact,0.25,-3,NaN
96,intact,0.25,-3,NaN
97,intact,0.25,NaN,NaN
98,intact,0.25,NaN,NaN
99,intact,0.25,NaN,NaN
100,intact,0.25,NaN,NaN
101,intact,0.25,NaN,NaN
102,intact,0.25,NaN,NaN
103,intact,0.25,NaN,NaN
104,intact,0.25,NaN,NaN
105,intact,0.25,NaN,NaN
106,intact,0.25,NaN,NaN
107,intact,0.25,-2,2
108,intact,0.25,-2,2
109,intact,0.25,-2.3,4
110,intact,0.25,-2.3,4
111,intact,0.25,NaN,4
112,intact,0.25,NaN,4
113,defect,0.25,-1.5,4
114,defect,0.25,-1.5,4
115,defect,0.25,-3,NaN
116,defect,0.25,-3,NaN
117,defect,0.25,-3,NaN
118,defect,0.25,-2.3,4
119,defect,0.25,-2.3,4
120,defect,0.25,NaN,4
121,defect,0.25,NaN,4
122,defect,0.25,-2,2
123,defect,0.25,NaN,NaN
124,defect,0.25,NaN,NaN
125,defect,0.25,NaN,NaN
126,defect,0.25,NaN,NaN
127,defect,0.25,NaN,NaN
128,defect,0.25,1,NaN
